dt,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-11-27 14:48:01,gps,device0,37.36799898,127.10314609999999,81.95008762,95.88600000000001,6,1610000000000.0
2020-11-27 14:48:02,gps,device0,37.36775853,127.10314509999999,81.8072371,96.96155,6,1610000000000.0
2020-11-27 14:48:03,gps,device0,37.36751471,127.1031423,81.67867027,96.89341999999999,8,1610000000000.0
2020-11-27 14:48:04,gps,device0,37.36727071,127.10314309999998,81.56965859,96.66245,8,1610000000000.0
2020-11-27 14:48:05,gps,device0,37.36702324,127.10314369999999,81.4638396,98.036446,8,1610000000000.0
2020-11-27 14:48:06,gps,device0,37.36677687,127.1031467,81.34413997,96.91875,8,1610000000000.0
2020-11-27 14:48:07,gps,device0,37.36653367,127.103149,81.2294394,94.83771,6,1610000000000.0
2020-11-27 14:48:08,gps,device0,37.36629484,127.1031497,81.09718133,95.49745,6,1610000000000.0
2020-11-27 14:48:09,gps,device0,37.36605903,127.1031507,81.05977507,91.984344,8,1610000000000.0
2020-11-27 14:48:10,gps,device0,37.36583463,127.10315209999999,81.02081085,89.62357,8,1610000000000.0
2020-11-27 14:48:11,gps,device0,37.36561577,127.10315359999998,80.95637277,88.29268,8,1610000000000.0
2020-11-27 14:48:13,gps,device0,37.36518107,127.1031514,81.00882024,88.028046,16,1610000000000.0
2020-11-27 14:48:14,gps,device0,37.36495932,127.103148,81.20246019,88.4087,16,1610000000000.0
2020-11-27 14:48:15,gps,device0,37.36472822,127.1031419,81.44271825,89.798485,16,1610000000000.0
2020-11-27 14:48:16,gps,device0,37.36449192,127.10313219999999,81.60459703,92.53101,8,1610000000000.0
2020-11-27 14:48:17,gps,device0,37.3642557,127.103128,81.70862014,94.61244,8,1610000000000.0
2020-11-27 14:48:18,gps,device0,37.36401429,127.103126,81.76288423,96.29106,8,1610000000000.0
2020-11-27 14:48:19,gps,device0,37.36377534,127.10312409999999,81.78654777,99.10051,8,1610000000000.0
2020-11-27 14:48:20,gps,device0,37.36353006,127.10312309999999,81.80466648,99.82845999999999,8,1610000000000.0
2020-11-27 14:48:21,gps,device0,37.36328232,127.10312320000001,81.81105586,100.00233,12,1610000000000.0
2020-11-27 14:48:22,gps,device0,37.36303505,127.10312250000001,81.82417144,101.41734,8,1610000000000.0
2020-11-27 14:48:23,gps,device0,37.36277752,127.10312250000001,81.83504484,102.73045,8,1610000000000.0
2020-11-27 14:48:24,gps,device0,37.36252293,127.1031236,81.81864203,100.82817,8,1610000000000.0
2020-11-27 14:48:25,gps,device0,37.36227165,127.1031324,81.80719068,102.88190999999999,8,1610000000000.0
2020-11-27 14:48:26,gps,device0,37.3620136,127.1031371,81.79414086,104.61406,8,1610000000000.0
2020-11-27 14:48:27,gps,device0,37.36175772,127.10313899999998,81.82430317,103.56038000000001,8,1610000000000.0
2020-11-27 14:48:28,gps,device0,37.36151289,127.103144,81.86460472,102.33646,8,1610000000000.0
2020-11-27 14:48:29,gps,device0,37.361263799999996,127.10314699999999,81.89411796,103.07378,8,1610000000000.0
2020-11-27 14:48:30,gps,device0,37.36101511,127.1031492,81.91632598,102.63678,8,1610000000000.0
2020-11-27 14:48:31,gps,device0,37.36076602,127.10315049999998,81.94036783,101.6931,8,1610000000000.0
2020-11-27 14:48:32,gps,device0,37.36052095,127.10315420000002,81.91277740000001,101.62405,8,1610000000000.0
2020-11-27 14:48:33,gps,device0,37.36026773,127.1031648,81.87783691,101.971245,8,1610000000000.0
2020-11-27 14:48:34,gps,device0,37.36001293,127.1031712,81.85967844,100.26283000000001,8,1610000000000.0
2020-11-27 14:48:35,gps,device0,37.35975735,127.10317759999998,81.71748003,100.195114,8,1610000000000.0
2020-11-27 14:48:36,gps,device0,37.35950527,127.1031854,81.51693561,101.447136,8,1610000000000.0
2020-11-27 14:48:37,gps,device0,37.35925561,127.10319309999998,81.35034661,101.365486,8,1610000000000.0
2020-11-27 14:48:38,gps,device0,37.35900719,127.10319779999999,81.25960165,99.78752,8,1610000000000.0
2020-11-27 14:48:39,gps,device0,37.35875809,127.1032018,81.21978087,100.77875999999999,8,1610000000000.0
2020-11-27 14:48:40,gps,device0,37.35850527,127.10320349999999,81.16431553,102.24476,8,1610000000000.0
2020-11-27 14:48:41,gps,device0,37.35825203,127.10320420000001,81.09607666,100.662384,8,1610000000000.0
2020-11-27 14:48:42,gps,device0,37.35799655,127.10320220000001,81.01492879,99.8318,6,1610000000000.0
2020-11-27 14:48:43,gps,device0,37.35773399,127.103202,80.88895282,100.62971999999999,6,1610000000000.0
2020-11-27 14:48:44,gps,device0,37.3574777,127.10319890000001,80.87859031,100.46763,6,1610000000000.0
2020-11-27 14:48:45,gps,device0,37.35722169,127.1031977,80.8828864,100.72868000000001,6,1610000000000.0
2020-11-27 14:48:46,gps,device0,37.35696525,127.10319840000001,80.92174042,100.311386,6,1610000000000.0
2020-11-27 14:48:47,gps,device0,37.35670992,127.1032001,80.9554045,100.78071,6,1610000000000.0
2020-11-27 14:48:48,gps,device0,37.35645301,127.10320259999999,80.97726847,101.35904000000001,6,1610000000000.0
2020-11-27 14:48:49,gps,device0,37.35619655,127.10320530000001,81.00346568,100.17846,6,1610000000000.0
2020-11-27 14:48:50,gps,device0,37.35594184,127.1032082,81.02308139,100.736145,6,1610000000000.0
2020-11-27 14:48:51,gps,device0,37.35568599,127.10321280000001,81.04911025,100.35015,6,1610000000000.0
2020-11-27 14:48:52,gps,device0,37.35543241,127.10321640000001,81.06966048,100.67118,6,1610000000000.0
